iter	Logloss
0	0.624327844
1	0.5684845483
2	0.5251921455
3	0.4897398771
4	0.46007749
5	0.4370978675
6	0.4178325069
7	0.4016604659
8	0.3888090767
9	0.3776001663
10	0.3687137974
11	0.3603542293
12	0.3538537698
13	0.3478055561
14	0.342482341
15	0.337906484
16	0.3340341155
17	0.3302249748
18	0.3261956686
19	0.3232549851
20	0.320467444
21	0.3182747224
22	0.3164597655
23	0.3147556531
24	0.3132148375
25	0.3117389848
26	0.3099686043
27	0.30858558
28	0.3070132764
29	0.3059463667
30	0.3046888884
31	0.3040106697
32	0.3027477175
33	0.301708933
34	0.3007424608
35	0.299985326
36	0.2986584158
37	0.2971974559
38	0.2963285167
39	0.2950403082
40	0.294400265
41	0.2932147262
42	0.2926845709
43	0.291925913
44	0.2905000381
45	0.2899341119
46	0.2893015572
47	0.288208745
48	0.2876626702
49	0.2866664995
50	0.2860168304
51	0.2852002428
52	0.2844025064
53	0.2837990169
54	0.2832486823
55	0.2825083602
56	0.281427052
57	0.2800162028
58	0.2795072315
59	0.2788601424
60	0.2776782063
61	0.2765726714
62	0.2761416902
63	0.2755064901
64	0.274883174
65	0.2741224631
66	0.2732105888
67	0.2722526094
68	0.271084644
69	0.2708802096
70	0.2696601716
71	0.2688977778
72	0.2686630193
73	0.2681404004
74	0.26730736
75	0.2666230666
76	0.2657887863
77	0.264915635
78	0.2640173482
79	0.2631949336
80	0.2626245539
81	0.261605391
82	0.2609914749
83	0.2598122786
84	0.2595496021
85	0.2594881219
86	0.2587865001
87	0.2578981268
88	0.2573291105
89	0.2566544222
90	0.2560653788
91	0.255662791
92	0.2549792107
93	0.2541237094
94	0.2537349868
95	0.2532570079
96	0.2524927873
97	0.2520435944
98	0.2512045412
99	0.2506121898
